Timestamp,Data
2024-08-06T19:13:48.324499,9
2024-08-06T19:13:49.325491,9
2024-08-06T19:13:50.325607,9
2024-08-06T19:13:51.325287,9
2024-08-06T19:13:52.324577,9
2024-08-06T19:13:53.324583,9
2024-08-06T19:13:54.324453,9
2024-08-06T19:13:55.324379,9
2024-08-06T19:13:56.324940,9
2024-08-06T19:13:57.324606,9
2024-08-06T19:13:58.324938,9
2024-08-06T19:13:59.324792,9
2024-08-06T19:14:00.324800,9
2024-08-06T19:14:01.324848,9
2024-08-06T19:14:02.324635,9
2024-08-06T19:14:03.325568,9
2024-08-06T19:14:04.325323,9
2024-08-06T19:14:05.325253,9
